偏移	大小	类型	字符串
001ac14f	19	A	destroyReadCursorsInPack:
001ac169	0c	A	abandonIndex
001ac176	06	A	_strat
001ac17d	06	A	_index
001ac184	0f	A	_topologyHandle
001ac194	12	A	fullTextSearchSpec
001ac1a7	22	A	trimRecordsStartingBeforeTimeRange
001ac1ca	12	A	getTypedArray:iid:
001ac1dd	10	A	fileReferenceURL
001ac1ee	18	A	fileSystemRepresentation
001ac207	15	A	stringWithUTF8String:
001ac21d	1c	A	URLByAppendingPathComponent:
001ac23a	11	A	stringWithFormat:
001ac24c	1c	A	URLByAppendingPathExtension:
001ac269	0d	A	pathExtension
001ac277	0b	A	filePathURL
001ac283	24	A	dictionaryWithObjects:forKeys:count:
001ac2b2	0c	A	columnForID:
001ac2bf	0f	A	engineeringType
001ac2cf	0f	A	engineeringName
001ac2df	3b	A	initWithColumnID:inputEngineeringType:inputEngineeringName:
001ac31b	08	A	isEqual:
001ac324	10	A	isMemberOfClass:
001ac335	0a	A	initialize
001ac340	18	A	initWithSchema:columnID:
001ac35e	0d	A	.cxx_destruct
001ac36c	09	A	_columnID
001ac376	0a	A	_inputType
001ac381	16	A	_columnEngineeringName
001ac398	09	A	signature
001ac3a2	0e	A	initWithIndex:
001ac3b1	19	A	setDiscreteFilter:column:
001ac3cb	05	A	class
001ac3d6	10	A	performSelector:
001ac3e7	1b	A	performSelector:withObject:
001ac403	26	A	performSelector:withObject:withObject:
001ac42a	07	A	isProxy
001ac432	0e	A	isKindOfClass:
001ac441	13	A	conformsToProtocol:
001ac455	13	A	respondsToSelector:
001ac469	06	A	retain
001ac470	07	A	release
001ac478	0b	A	autorelease
001ac484	0b	A	retainCount
001ac495	0a	A	superclass
001ac4a0	0b	A	description
001ac4ac	10	A	debugDescription
001ac4c7	10	A	T@"NSString",R,C
001ac4d8	17	A	displayableFunctionName
001ac4f0	1a	A	isValidForEngineeringType:
001ac50b	15	A	outputEngineeringType
001ac521	18	A	extendFunctionWithScope:
001ac53a	0f	A	rollUp:to:core:
001ac54a	16	A	queryForRolledUpValue:
001ac561	09	A	implValue
001ac56b	18	A	objectForKeyedSubscript:
001ac584	07	A	isValid
001ac58c	23	A	getValue:implValue:engineeringType:
001ac5b0	07	A	mapping
001ac5b8	0b	A	setMapping:
001ac5c4	17	A	mappingForInvalidValues
001ac5dc	1b	A	setMappingForInvalidValues:
001ac5f8	08	A	_mapping
001ac601	18	A	_mappingForInvalidValues
001ac61a	1e	A	T@"NSDictionary",C,N,V_mapping
001ac639	39	A	T@"XRAnalysisCoreImplValue",C,N,V_mappingForInvalidValues
001ac673	15	A	getThreadDetails:tid:
001ac689	1a	A	getProcessDetails:session:
001ac6a4	0b	A	storedValue
001ac6b0	23	A	getValue:signature:engineeringType:
001ac6d4	09	A	addIndex:
001ac6de	0e	A	.cxx_construct
001ac6ed	0c	A	_pidToTidMap
001ac6fa	0e	A	_tidToPidCache
001ac709	0d	A	_reusedThread
001ac717	0e	A	_reusedProcess
001ac726	07	A	allKeys
001ac72e	2a	A	countByEnumeratingWithState:objects:count:
001ac759	18	A	stringByAppendingString:
001ac772	1c	A	registerCapability:versions:
001ac78f	12	A	isSubclassOfClass:
001ac7a2	21	A	registerRollupMethodCapabilities:
001ac7c4	2a	A	rollUpWithName:schema:columnID:sourceType:
001ac7ef	0c	A	swiftModeler
001ac7fc	27	A	resetModelerStateWithTables:parameters:
001ac824	11	A	initWithBindings:
001ac836	13	A	initWithReadCursor:
001ac84a	46	A	populateOutputTables:usingObserverations:parameters:checkToYieldBlock:
001ac891	25	A	populateSpeculationTables:parameters:
001ac8b7	3e	A	populateOutputTables:usingObserverations:parameters:yieldFlag:
001ac8f6	0a	A	inputCount
001ac901	0e	A	setInputCount:
001ac910	0b	A	outputCount
001ac91c	0f	A	setOutputCount:
001ac92c	12	A	machProcessingTime
001ac93f	16	A	setMachProcessingTime:
001ac956	28	A	modelingActivityCompletedWithParameters:
001ac97f	17	A	debuggingSwapLogString:
001ac997	20	A	debuggingExecuteCommand:context:
001ac9b8	25	A	debuggingDumpWorkingMemoryForContext:
001ac9de	21	A	debuggingEnumerateContextStrings:
001aca00	1e	A	debuggingAsynchronousPanicStop
001aca24	15	A	initWithSwiftModeler:
001aca3a	0d	A	_swiftModeler
001aca48	33	A	T@"<XRAnalysisCoreSwiftModeler>",R,N,V_swiftModeler
001aca7c	10	A	TQ,N,VinputCount
001aca8d	11	A	TQ,N,VoutputCount
001aca9f	18	A	TQ,N,VmachProcessingTime
001acab8	0f	A	wrappedBindings
001acac8	14	A	initWithWriteCursor:
001acadd	16	A	writeCursorForTableID:
001acaf4	0b	A	tableForID:
001acb00	10	A	_wrappedBindings
001acb11	37	A	Tr^{XRAnalysisCoreTableBindings=},R,N,V_wrappedBindings
001acb49	0d	A	wrappedCursor
001acb57	10	A	advanceToNextRow
001acb68	07	A	tableID
001acb70	11	A	valueForColumnId:
001acb82	0e	A	_wrappedCursor
001acb91	31	A	T^{XRAnalysisCoreReadCursor=},R,N,V_wrappedCursor
001acbc3	06	A	TI,R,N
001acbca	0c	A	valueFactory
001acbd7	0c	A	appendNewRow
001acbe4	23	A	copyFromReadCursor:column:toColumn:
001acc08	13	A	setValue:forColumn:
001acc1c	14	A	setString:forColumn:
001acc31	14	A	setUInt64:forColumn:
001acc46	14	A	setUInt32:forColumn:
001acc5b	1b	A	setKeyValueArray:forColumn:
001acc77	19	A	setUInt64Array:forColumn:
001acc91	12	A	setUUID:forColumn:
001acca4	32	A	T^{XRAnalysisCoreWriteCursor=},R,N,V_wrappedCursor
001accd7	24	A	T@"<XRAnalysisCoreValueFactory>",R,N
001accfc	3a	A	initWithRing:context:bindingHemisphere:modelingHemisphere:
001acd37	10	A	_needsScheduling
001acd48	1e	A	notifyWhenNeedingOptimization:
001acd67	11	A	needsOptimization
001acd79	0f	A	shouldDisengage
001acd89	0f	A	containsObject:
001acd99	0a	A	addObject:
001acda4	16	A	initWithStore:manager:
001acdbb	3d	A	activateAtStop:activationTicket:finalDestination:finalTicket:
001acdf9	23	A	enumerateStoresNeedingOptimization:
001ace1d	05	A	count
001ace23	16	A	resetNeedsOptimization
001ace3a	1a	A	enableConcurrentActivities
001ace55	1c	A	agentStopDiagnosticsTypeCode
001ace72	13	A	enteringMinorFrame:
001ace86	13	A	yieldingMinorFrame:
001ace9a	11	A	bindingHemisphere
001aceac	0e	A	_finalShutdown
001acebb	08	A	_guarded
001acec4	10	A	initWithManager:
001aced5	07	A	manager
001acedd	1d	A	factualCursorPacksOutstanding
001acefb	19	A	_reevaluateArrivingAgent:
001acf15	1f	A	notifyWhenFactualQueriesFinish:
001acf35	16	A	holdBackArrivingAgent:
001acf4c	09	A	setStore:
001acf56	10	A	nextMovementType
001acf67	05	A	store
001acf6d	0d	A	removeObject:
001acf7b	18	A	holdBackRevisitingAgent:
001acf94	18	A	_prepareMinorFrameAgent:
001acfad	1d	A	_escortMinorFrameAgentToExit:
001acfcb	06	A	_store
001acfd2	08	A	_manager
001acfdb	25	A	T@"XRAnalysisCoreActivityManager",R,N
001ad001	12	A	initWithComponent:
001ad014	09	A	component
001ad01e	0a	A	_component
001ad029	1c	A	T@"NSString",R,N,V_component
001ad046	14	A	standardUserDefaults
001ad05b	0a	A	URLForKey:
001ad066	27	A	checkResourceIsReachableAndReturnError:
001ad08e	0f	A	bundleForClass:
001ad09e	1d	A	URLForResource:withExtension:
001ad0bc	1f	A	registerCompressorCapabilities:
001ad0dc	0e	A	absoluteString
001ad0eb	1e	A	initWithPattern:options:error:
001ad10a	0e	A	defaultManager
001ad119	40	A	enumeratorAtURL:includingPropertiesForKeys:options:errorHandler:
001ad15a	0a	A	nextObject
001ad165	16	A	URLByStandardizingPath
001ad17c	1c	A	URLByResolvingSymlinksInPath
001ad199	06	A	length
001ad1a0	05	A	range
001ad1a6	0d	A	rangeAtIndex:
001ad1b4	13	A	substringWithRange:
001ad1c8	08	A	intValue
001ad1d1	16	A	removeItemAtURL:error:
001ad1e8	32	A	enumerateMatchesInString:options:range:usingBlock:
001ad220	1f	A	stringByAppendingPathComponent:
001ad240	0f	A	initWithFormat:
001ad250	1e	A	errorWithDomain:code:userInfo:
001ad26f	3e	A	fileURLWithFileSystemRepresentation:isDirectory:relativeToURL:
001ad2ae	1e	A	formDirectoryBasedOnURL:error:
001ad2cd	20	A	defaultTemporaryDirectoryBaseURL
001ad2ee	10	A	initWithBaseURL:
001ad2ff	28	A	URLByAppendingPathComponent:isDirectory:
001ad328	0f	A	failureOccurred
001ad338	11	A	setObject:forKey:
001ad34a	08	A	failures
001ad353	0b	A	firstObject
001ad35f	1c	A	setObject:forKeyedSubscript:
001ad37c	10	A	isEqualToString:
001ad38d	0e	A	rangeOfString:
001ad39c	13	A	substringFromIndex:
001ad3b0	0a	A	hasSuffix:
001ad3bb	11	A	substringToIndex:
001ad3cd	0a	A	hasPrefix:
001ad3d8	13	A	removeObjectForKey:
001ad3ec	17	A	arrayWithObjects:count:
001ad404	19	A	objectAtIndexedSubscript:
001ad41e	1b	A	enumerateObjectsUsingBlock:
001ad43a	1a	A	copyItemAtURL:toURL:error:
001ad455	42	A	createDirectoryAtURL:withIntermediateDirectories:attributes:error:
001ad498	1e	A	URLByDeletingLastPathComponent
001ad4b7	42	A	contentsOfDirectoryAtURL:includingPropertiesForKeys:options:error:
001ad4fa	25	A	createFileAtPath:contents:attributes:
001ad520	1b	A	outputStreamWithURL:append:
001ad541	30	A	writePropertyList:toStream:format:options:error:
001ad572	05	A	close
001ad578	16	A	defaultGlobalConfigURL
001ad58f	15	A	defaultExperimentsURL
001ad5a5	20	A	registerPathManagerCapabilities:
001ad5c6	14	A	deleteStaleTempPaths
001ad5db	23	A	setTemporaryDirectoryBaseURL:error:
001ad5ff	1a	A	temporaryDirectoryBaseURL:
001ad61a	16	A	temporaryDirectoryURL:
001ad631	22	A	temporaryDefaultBasedDirectoryURL:
001ad654	14	A	compressSavedContent
001ad669	18	A	setCompressSavedContent:
001ad682	07	A	baseURL
001ad68a	12	A	validateWithError:
001ad69d	2e	A	createLocalFileSystemDirectoryAtSubpath:error:
001ad6cc	31	A	localFileSystemDirectoryForSubpath:options:error:
001ad6fe	19	A	remapSubpath:toURL:error:
001ad718	19	A	moveSubpathFrom:to:error:
001ad732	18	A	copyURL:asSubpath:error:
001ad74b	14	A	removeSubpath:error:
001ad760	19	A	enumerateSubpathsAndURLs:
001ad77a	23	A	writeAtomicallyToURL:progressBlock:
001ad79e	06	A	_state
001ad7a5	0b	A	T@"NSURL",R
001ad7b4	12	A	xr_object:isEqual:
001ad7c7	11	A	fileExistsAtPath:
001ad7d9	1d	A	dvtiu_isURLAlreadyExistsError
001ad7f7	0d	A	raise:format:
001ad805	15	A	isReadableFileAtPath:
001ad81b	15	A	isWritableFileAtPath:
001ad831	17	A	isExecutableFileAtPath:
001ad849	1e	A	getResourceValue:forKey:error:
001ad868	09	A	boolValue
001ad872	1c	A	fileURLWithPath:isDirectory:
001ad88f	38	A	URLForDirectory:inDomain:appropriateForURL:create:error:
001ad8c8	0a	A	mainBundle
001ad8d3	10	A	bundleIdentifier
001ad8e4	09	A	isFileURL
001ad8ee	24	A	dataWithContentsOfURL:options:error:
001ad913	2a	A	propertyListWithData:options:format:error:
001ad93e	0d	A	setWithArray:
001ad94c	0d	A	defaultCenter
001ad95a	25	A	postNotificationName:object:userInfo:
001ad980	11	A	lastPathComponent
001ad992	10	A	hasDirectoryPath
001ad9a3	15	A	unsignedLongLongValue
001ad9b9	20	A	initWithMode:source:destination:
001ad9da	1e	A	performInGroup:issueResponder:
001ad9f9	21	A	stringByDeletingLastPathComponent
001ada1b	07	A	member:
001ada23	1f	A	enumerateObjectsAndIntegerKeys:
001ada43	18	A	setObject:forIntegerKey:
001ada5c	0d	A	setTimeRange:
001ada6a	26	A	setTrimRecordsStartingBeforeTimeRange:
001ada91	13	A	primaryTimeColumnID
001adaa5	39	A	createCursorPackForQuery:tableID:factualPack:speculative:
001adadf	14	A	objectForIntegerKey:
001adaf4	2f	A	destroyFactualCursorPack:speculativeCursorPack:
001adb24	12	A	initWithTimeRange:
001adb37	11	A	addTableID:store:
001adb49	0e	A	prepareCursor:
001adb58	1f	A	getCurrentCursorPositionInTime:
001adb78	06	A	cursor
001adb7f	0c	A	_mergeCursor
001adb8c	0a	A	_timeRange
001adb97	15	A	_knownStoresByTableID
001adbad	0f	A	_runningQueries
001adbbd	0c	A	_runningWork
001adbca	0f	A	_prepareRunning
001adbda	10	A	_prepareFinished
001adbeb	25	A	T^{XRAnalysisCoreReadCursor=^^?I},R,N
001adc11	15	A	_handleSubpathChange:
001adc27	21	A	addObserver:selector:name:object:
001adc49	10	A	initWithOptions:
001adc5a	3b	A	initWithKeyPointerFunctions:valuePointerFunctions:capacity:
001adc96	16	A	dataWithContentsOfURL:
001adcad	27	A	unarchivedObjectOfClass:fromData:error:
001adcd5	23	A	tocWithMissingArchiveAtUniquingURL:
001adcf9	13	A	urlForETypeMapping:
001add0d	0f	A	setWithObjects:
001add1d	29	A	unarchivedObjectOfClasses:fromData:error:
001add47	1e	A	urlForArrayUniquerFromBaseURL:
001add66	23	A	urlForTypedArrayUniquerFromBaseURL:
001add8a	1b	A	urlForStringMapFromBaseURL:
001adda6	17	A	arrayWithContentsOfURL:
001addbe	10	A	defaultResponder
001addcf	15	A	dvtiuErrorWithFormat:
001adde5	16	A	handleIssue:type:from:
001addfc	06	A	domain
001ade08	10	A	initWithObjects:
001ade19	14	A	nextUniqueIdentifier
001ade2e	11	A	initWithRegistry:
001ade40	06	A	object
001ade47	08	A	userInfo
001ade55	0f	A	removeObserver:
001ade65	12	A	_registryGoingAway
001ade78	16	A	getArrayOfUInt64s:iid:
001ade8f	1b	A	numberWithUnsignedLongLong:
001adeab	09	A	weakProxy
001adeb5	07	A	invoke:
001adebd	18	A	addArrayOfUInt64sToCore:
001aded6	15	A	storedArrayOfUInt64s:
001adeec	10	A	addStringToCore:
001adf02	07	A	_stored
001adf0a	06	A	string
001adf11	0a	A	typedArray
001adf1c	05	A	array
001adf22	24	A	getValue:signatures:engineeringType:
001adf47	06	A	uint32
001adf4e	06	A	uint64
001adf55	14	A	addTypedArrayToCore:
001adf6a	0c	A	fixedDecimal
001adf77	0d	A	initWithType:
001adf85	09	A	setArray:
001adf8f	28	A	getValue:implementation:engineeringType:
001adfb8	16	A	storedBacktrace:count:
001adfcf	1c	A	storedProcess:deviceSession:
001adfec	1e	A	getNarrative:type:format:args:
001ae00b	0a	A	UTF8String
001ae016	15	A	setEtypeMapComponent:
001ae02c	37	A	archivedDataWithRootObject:requiringSecureCoding:error:
001ae064	16	A	writeToURL:atomically:
001ae07b	22	A	getBacktraceValue:fragments:count:
001ae09e	24	A	getBacktraceFragment:process:frames:
001ae0c3	20	A	getProcessValue:pid:sessionUUID:
001ae0e4	19	A	getNarrative:format:args:
001ae0fe	16	A	getThread:tid:process:
001ae115	1f	A	getTimeInterval:start:duration:
001ae135	30	A	getCPCallstack:process:pc:frames:extraRegisters:
001ae166	19	A	getTextSymbol:process:pc:
001ae180	17	A	getNextUniqueIdentifier
001ae198	1e	A	createOracleFunctionInvocation
001ae1b7	15	A	pointsAtSameRegistry:
001ae1cd	0d	A	stringForIID:
001ae1db	14	A	arrayForUInt64Array:
001ae1f0	13	A	arrayForTypedArray:
001ae204	17	A	addOracleFunction:name:
001ae21c	20	A	invokeOracleFunction:invocation:
001ae23d	1c	A	oracleFunctionTokenWithName:
001ae25a	12	A	storedThreadState:
001ae26d	18	A	storedThreadName:thread:
001ae286	25	A	getExistingStoredValue:fromImplValue:
001ae2ac	2f	A	initWithPathManager:coreSubpath:issueResponder:
001ae2dc	15	A	coreSubpathDidChange:
001ae2f2	15	A	coreSubpathWillChange
001ae30d	06	A	unseal
001ae314	12	A	_writeETypeMapping
001ae327	0e	A	issueResponder
001ae336	12	A	setIssueResponder:
001ae349	07	A	_sealed
001ae351	0f	A	_shouldBeSealed
001ae361	08	A	_regLock
001ae36a	0f	A	_stringUniquing
001ae37a	0c	A	_stringByIID
001ae387	0e	A	_nextStringIID
001ae396	08	A	_subpath
001ae39f	08	A	_pathMan
001ae3a8	0d	A	_arrayUniquer
001ae3b6	12	A	_typedArrayUniquer
001ae3c9	15	A	_oracleNameLookUpLock
001ae3df	0e	A	_oraclesByName
001ae3ee	11	A	_uniqueingSubpath
001ae400	15	A	_threadStateConstants
001ae416	15	A	_nextUniqueIdentifier
001ae431	0a	A	_weakProxy
001ae43c	1d	A	_remappedTypedArrayUniquerURL
001ae45a	0f	A	_issueResponder
001ae46a	2b	A	T@"<XRIssueResponder>",&,N,V_issueResponder
001ae496	1c	A	forwardingTargetForSelector:
001ae4b3	08	A	selector
001ae4bc	1b	A	instancesRespondToSelector:
001ae4d8	11	A	invokeWithTarget:
001ae4ea	12	A	forwardInvocation:
001ae502	62	A	initWithArrayComponent:typedArrayComponent:stringComponent:nextUniqueIdentifier:etypeMapComponent:
001ae565	14	A	containsValueForKey:
001ae57a	12	A	decodeInt64ForKey:
001ae58d	1b	A	decodeObjectOfClass:forKey:
001ae5a9	14	A	encodeObject:forKey:
001ae5be	13	A	encodeInt64:forKey:
001ae5d2	07	A	version
001ae5da	14	A	supportsSecureCoding
001ae5ef	10	A	encodeWithCoder:
001ae600	0e	A	initWithCoder:
001ae614	18	A	setNextUniqueIdentifier:
001ae62d	11	A	etypeMapComponent
001ae63f	11	A	_stringsComponent
001ae651	0f	A	_arrayComponent
001ae661	14	A	_typedArrayComponent
001ae676	12	A	_etypeMapComponent
001ae689	1b	A	Tq,N,V_nextUniqueIdentifier
001ae6a5	24	A	T@"NSString",C,N,V_etypeMapComponent
001ae6ca	12	A	unsignedShortValue
001ae6dd	16	A	localizedFailureReason
001ae6f4	0a	A	attributes
001ae704	0a	A	enumString
001ae70f	08	A	mnemonic
001ae718	18	A	numberWithUnsignedShort:
001ae731	12	A	encodingConvention
001ae744	08	A	sentinel
001ae74d	1d	A	enumerateEngineeringTypeDefs:
001ae76b	1c	A	ac_configureEngineeringType:
001ae788	0a	A	fixedTypes
001ae793	0d	A	remainderType
001ae7a1	07	A	entries
001ae7a9	08	A	bitRange
001ae7b2	13	A	weakProxyForObject:
001ae7c6	08	A	_realObj
001ae7cf	07	A	pathMan
001ae7d7	35	A	initWithPathManager:delegate:registry:issueResponder:
001ae80d	18	A	importSchemasXMLFromURL:
001ae826	07	A	subpath
001ae82e	0a	A	setSealed:
001ae839	0a	A	schemaName
001ae844	1e	A	parseSchemasFromURL:withError:
001ae863	0e	A	topologyTypeID
001ae872	0f	A	topologyFieldID
001ae882	11	A	enumerateColumns:
001ae894	11	A	columnObjectsByID
001ae8a6	0b	A	mutableCopy
001ae8b2	41	A	initWithEngineeringName:mnemonic:engineeringType:topologyFieldID:
001ae8f4	20	A	replaceObjectAtIndex:withObject:
001ae915	1b	A	enumerateIndexesUsingBlock:
001ae931	1e	A	initWithName:topology:columns:
001ae950	22	A	enumerateKeysAndObjectsUsingBlock:
001ae973	07	A	engaged
001ae97b	0e	A	reserveTableID
001ae98a	1a	A	removeObjectForIntegerKey:
001ae9a5	11	A	wipeInvalidTables
001ae9b7	16	A	numberWithUnsignedInt:
001ae9ce	0f	A	tableBoundToID:
001ae9de	0c	A	accessRights
001ae9eb	21	A	readCursorForRowArray:startingAt:
001aea0d	1b	A	_readCursorWithStore:start:
001aea29	19	A	createPivotArrayAccessor:
001aea43	06	A	source
001aea4a	1b	A	_accessorWithTableID:store:
001aea66	13	A	currentEventHorizon
001aea7a	0c	A	setBreached:
001aea87	1f	A	pushBindingJournalsToRowArrays:
001aeaa7	15	A	noteNeedsOptimization
001aeabd	0e	A	knownRowArrays
001aeacc	0a	A	allObjects
001aead7	0e	A	objectAtIndex:
001aeae6	0d	A	unsatisfiable
001aeaf4	05	A	scope
001aeafa	10	A	speculativeStore
001aeb0b	1a	A	setByAddingObjectsFromSet:
001aeb26	10	A	unsignedIntValue
001aeb37	0c	A	tableWithID:
001aeb49	10	A	enumerateTables:
001aeb5a	10	A	enumerateStores:
001aeb6b	15	A	_configurationSubpath
001aeb81	1d	A	dictionaryWithObjectsAndKeys:
001aeb9f	18	A	announceUsedCapabilities
001aebb8	1e	A	enumerateKnownTablesWithBlock:
001aebd7	09	A	minusSet:
001aebe1	12	A	purgeAllAggregates
001aebf9	10	A	setCreationTime:
001aec0a	24	A	initWithSpec:store:tableID:registry:
001aec2f	0e	A	attachToSource
001aec3e	12	A	setFactualContent:
001aec51	16	A	setSpeculativeContent:
001aec68	0c	A	creationTime
001aec75	14	A	timeIntervalSinceNow
001aec8a	12	A	initWithClassName:
001aec9d	11	A	addTable:tableID:
001aecaf	0c	A	loggingFlags
001aecbc	0f	A	_reserveTableID
001aeccc	2b	A	_createIndexedStorageWithSchema:attributes:
001aecf8	16	A	_bindStore:table:side:
001aed0f	11	A	unsignedCharValue
001aed21	1c	A	addInstanceToSolution:stage:
001aed3e	13	A	invalidateAllTables
001aed52	10	A	removeAllObjects
001aed63	3f	A	initWithReadOnlyCore:bindingParameters:parameters:loggingFlags:
001aeda3	2a	A	initWithSchema:engineeringName:attributes:
001aedce	12	A	makeStoreWithSpec:
001aede1	0f	A	schemaWithName:
001aedf1	17	A	bindTableID:store:side:
001aee09	1d	A	initWithDictionary:copyItems:
001aee27	14	A	abandonInvalidTables
001aee3c	0a	A	setString:
001aee47	10	A	setFixedDecimal:
001aee58	1c	A	setTypedArrayWithSignatures:
001aee75	0a	A	setUint32:
001aee80	0a	A	setUint64:
001aee8b	1c	A	enumerateInstancesWithBlock:
001aeea8	15	A	debugEnumerateStores:
001aeebe	0b	A	coreSubpath
001aeeca	27	A	setImplValue:signature:engineeringType:
001aeef2	25	A	getValue:storedValue:engineeringType:
001aef18	18	A	createFunctionInvocation
001aef31	1d	A	randomAccessForTableID:block:
001aef4f	19	A	initWithContext:registry:
001aef69	0e	A	clipsDidReset:
001aef78	0e	A	clipsDidClear:
001aef87	23	A	addBindingRulesAtURL:extensionName:
001aefab	16	A	enumerateKnownSchemas:
001aefc2	0a	A	addSchema:
001aefcd	15	A	removeSchemaWithName:
001aefe3	19	A	addRequiredTableWithSpec:
001aeffd	1a	A	removeRequiredTableWithID:
001af018	14	A	removeObsoleteStores
001af02d	17	A	requiredTableSpecForID:
001af045	21	A	readRowsInArray:startingAt:block:
001af067	17	A	accessPivotArray:block:
001af07f	17	A	populateTableIDs:block:
001af097	20	A	firstTableIDMatchingSpec:access:
001af0b8	1f	A	announceUsedStorageCapabilities
001af0d8	12	A	purgeModeledStores
001af0eb	14	A	externalInputTableID
001af100	1a	A	projectorWithTableID:spec:
001af11b	2b	A	_addModelerInstanceForClass:bindings:stage:
001af147	20	A	_prepareToReceiveBindingSolution
001af168	30	A	createModelingParametersFromCurrentConfiguration
001af199	08	A	tearDown
001af1a2	16	A	_makeMutableDictionary
001af1b9	1c	A	_dictionary:setValue:forKey:
001af1d6	1c	A	_reportUnboundAppendTableID:
001af1f3	1b	A	_validateSchema:binderName:
001af20f	15	A	setBindingParameters:
001af225	16	A	setModelingParameters:
001af23c	13	A	solveBindingProblem
001af250	16	A	currentBindingSolution
001af267	24	A	validateBindingRules:issueResponder:
001af28c	1a	A	validateAbsenceOfErrorSpew
001af2a7	1d	A	debugEnumerateInternalTables:
001af2c5	1e	A	debugEnumerateModelerSolution:
001af2e4	08	A	_context
001af2ed	09	A	_tableMan
001af2f7	0d	A	_binderEngine
001af305	1a	A	_requiredReadOnlySpecsByID
001af320	13	A	_knownSchemasByName
001af334	12	A	_binderInvocations
001af347	0e	A	_inputTableIDs
001af356	12	A	_byproductTableIDs
001af369	12	A	_bindingParameters
001af37c	13	A	_modelingParameters
001af390	17	A	_modelerBindingSolution
001af3a8	11	A	_projectorsBySpec
001af3ba	0e	A	_weakProxyToMe
001af3c9	09	A	_registry
001af3d3	0d	A	sortWillBegin
001af3e1	0d	A	sortDidFinish
001af3ef	1b	A	methodSignatureForSelector:
001af40b	1e	A	invocationWithMethodSignature:
001af42a	0a	A	setTarget:
001af435	0c	A	setSelector:
001af442	1c	A	addParametersToCLIPS:module:
001af45f	27	A	stringWithContentsOfURL:encoding:error:
001af487	30	A	stringByReplacingOccurrencesOfString:withString:
001af4b8	1d	A	attributedSubstringFromRange:
001af4d6	24	A	analysisCoreCLIPSWerrorChannelError:
001af4fb	2e	A	enumerateAttribute:inRange:options:usingBlock:
001af52f	0c	A	movementType
001af53c	17	A	executeStopOnItinerary:
001af554	05	A	query
001af55a	11	A	finishedWithMode:
001af56c	07	A	revisit
001af574	15	A	speculativeCursorPack
001af58a	10	A	_exposeAddedRows
001af59b	0e	A	totalUnitCount
001af5aa	16	A	setCompletedUnitCount:
001af5c1	08	A	yieldNow
001af5ca	0c	A	setYieldNow:
001af5d7	06	A	T^Ac,N
001af5de	11	A	factualCursorPack
001af5f0	15	A	setFactualCursorPack:
001af606	19	A	setSpeculativeCursorPack:
001af620	0c	A	queryContext
001af62d	10	A	setQueryContext:
001af63e	05	A	T^v,N
001af644	24	A	T@"<XRAnalysisCoreQueryContext>",&,N
001af669	09	A	roomOwner
001af673	0d	A	setRoomOwner:
001af681	29	A	T@"XRMobileAgent<XRMobileAgentOwner>",&,N
001af6ab	14	A	agentDiagnosticsName
001af6c0	06	A	result
001af6c7	0a	A	setResult:
001af6d2	08	A	progress
001af6db	0c	A	setProgress:
001af6e8	09	A	_yieldNow
001af6f2	12	A	_factualCursorPack
001af705	16	A	_speculativeCursorPack
001af71c	0d	A	_queryContext
001af72a	07	A	_result
001af732	09	A	_progress
001af73c	27	A	T@"XRAnalysisCoreRowArray",&,N,V_result
001af764	1d	A	T@"NSProgress",&,N,V_progress
001af782	19	A	T^v,N,V_factualCursorPack
001af79c	1d	A	T^v,N,V_speculativeCursorPack
001af7ba	33	A	T@"<XRAnalysisCoreQueryContext>",&,N,V_queryContext
001af7ee	11	A	T^Ac,N,V_yieldNow
001af800	34	A	T@"XRMobileAgent<XRMobileAgentOwner>",&,N,VroomOwner
001af835	31	A	setUnimplementedRecoverySuggestion:forCapability:
001af867	2d	A	setAbandonedRecoverySuggestion:forCapability:
001af895	11	A	_finishedOrFailed
001af8a7	1f	A	announceUsedCapability:version:
001af8c7	15	A	_readFileAndTransform
001af8dd	12	A	_transformAndWrite
001af8f0	07	A	_stream
001af8f8	11	A	_compressionQueue
001af90a	06	A	_group
001af911	07	A	_readIO
001af919	08	A	_writeIO
001af922	0b	A	_sourceData
001af92e	0c	A	_currentData
001af93b	08	A	_scratch
001af944	0c	A	_scratchSize
001af951	0a	A	_sourceURL
001af95c	08	A	_destURL
001af965	0f	A	_debugInputSize
001af975	05	A	_mode
001af97b	0b	A	_finalBlock
001af987	17	A	_shouldAttemptTransform
001af99f	0a	A	_didFinish
001af9aa	1a	A	initWithIdentifiers:count:
001af9c5	19	A	encodeValueOfObjCType:at:
001af9df	19	A	decodeValueOfObjCType:at:
001af9f9	16	A	appendEventIdentifier:
001afa10	11	A	mergeIdentifiers:
001afa22	14	A	removeAllIdentifiers
001afa37	29	A	binarySearchReturnNearest:withComparator:
001afa61	0b	A	upperBound:
001afa6d	0b	A	lowerBound:
001afa79	12	A	identifierAtIndex:
001afa8c	1e	A	enumerateIdentifiersWithBlock:
001afaab	09	A	_myVector
001afab5	06	A	TQ,R,N
001afabc	11	A	setUnsatisfiable:
001aface	14	A	registryForDebugging
001afae3	14	A	enumerateSignatures:
001afaf8	68	A	initWithDiscreteFilters:timeRange:unsatisfiable:scope:trimRecordsStartingBeforeTimeRange:fullTextSearch:
001afb61	1d	A	decodeObjectOfClasses:forKey:
001afb7f	10	A	objectEnumerator
001afb90	12	A	addIndexesInRange:
